"Carimbo de data/hora","Quais serviços você conhece? (selecione uma ou mais)","Quais serviços você ou sua família assinam? (selecione uma ou mais)","Quais serviços você mais gosta? (selecione uma ou mais)","Idade","Gênero","Ocupação","Quantas crianças (menor de 10 anos) moram com você?","Tipo de conteúdo preferido:","Durante a semana, quantas horas você assiste de streaming por dia?","De final de semana, quantas horas você assiste de streaming por dia?","Quais dispositivos você utiliza para assistir streaming? (selecione uma ou mais)","Qual preço você julga justo assinar?","Qual sua renda familiar mensal?","O que poderia melhorar nos serviços de streaming que você assina?"
"2022/05/03 2:32:39 PM GMT-3","Netflix;HBO Max","Netflix;HBO Max","Netflix;HBO Max","57","Masculino","Trabalhando","1-2","Séries","3","8","Smart TV;Notebook ou PC","Mais de R$35,00","R$5.000,00 - R$10.000,00","Nada"
"2022/05/03 2:34:21 PM GMT-3","Netflix;Prime Video;Globoplay","Netflix;Prime Video","Netflix","38","Masculino","Trabalhando","0","Filmes","1","2","Smart TV","R$25,00 - R$35,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries"
"2022/05/03 2:35:20 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;Globoplay","Netflix;Prime Video","40","Masculino","Estudando e Trabalhando","0","Séries","2","5","Smart TV","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 2:38:54 PM GMT-3","Netflix","Netflix","Disney+","59","Masculino","Aposentado","0","Esportes","0","4","Smart TV","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 2:45:38 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Telecine, premiere e Crunchyroll","Netflix;Disney+;Star+;Prime Video;HBO Max","Disney+;HBO Max","21","Masculino","Estudando","0","Séries","1","4","Smart TV;Celular;Notebook ou PC","R$25,00 - R$35,00","","Preço;Maior catálogo de filmes e séries"
"2022/05/03 3:07:15 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Prime Video","Prime Video","21","Masculino","Estudando e Trabalhando","0","Documentários","2","2","Celular;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries"
"2022/05/03 3:07:15 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Prime Video;HBO Max","21","Masculino","Estudando","0","Séries","2","3","Smart TV","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 3:11:05 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","HBO Max","22","Masculino","Estudando e Trabalhando","0","Séries","1","3","Smart TV;Celular;Notebook ou PC","R$25,00 - R$35,00","","Maior catálogo de filmes e séries"
"2022/05/03 3:19:38 PM GMT-3","Netflix","Netflix","Netflix;Disney+;HBO Max","42","Masculino","Trabalhando","1-2","Filmes","7","2","Smart TV;Celular","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço"
"2022/05/03 3:23:09 PM GMT-3","Netflix;Disney+;Globoplay","Netflix;Disney+","Netflix;Globoplay","54","Feminino","Aposentado","0","Filmes","0","0","Smart TV","R$5,00 - R$15,00","R$1.000,00 - R$5.000,00","Conexão"
"2022/05/03 3:54:21 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","27","Feminino","Estudando e Trabalhando","1-2","Séries","2","5","Smart TV;Celular;Notebook ou PC","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Conexão"
"2022/05/03 3:57:01 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Star+;HBO Max","19","Feminino","Estudando e Trabalhando","0","Filmes","5","5","Smart TV;Notebook ou PC","R$25,00 - R$35,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries"
"2022/05/03 4:04:07 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Discovery+","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+","20","Feminino","Estudando e Trabalhando","0","Séries","5","3","Smart TV;Tablet ou iPad;Celular","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Conexão;Interface"
"2022/05/03 4:15:56 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Globoplay","Netflix","47","Masculino","Trabalhando","1-2","Séries","3","6","Smart TV;Google Chromecast ou similar","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Nada"
"2022/05/03 4:22:21 PM GMT-3","Netflix;Prime Video;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max","62","Masculino","Trabalhando","0","Filmes","5","2","Smart TV;Celular;Notebook ou PC","Mais de R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 4:22:48 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;HBO Max","13","Masculino","Estudando","0","Esportes","2","4","Smart TV;Tablet ou iPad;Celular","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 4:22:54 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Globoplay","Netflix;Disney+","31","Feminino","Trabalhando","1-2","Filmes","2","2","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","Mais de R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 4:25:25 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;Prime Video","Netflix","46","Masculino","Trabalhando","1-2","Filmes","0","3","Google Chromecast ou similar;Celular","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 4:36:26 PM GMT-3","Netflix;Disney+;HBO Max;Globoplay","Netflix;Disney+;HBO Max","Netflix;Disney+;HBO Max","20","Feminino","Estudando e Trabalhando","0","Filmes","0","2","Tablet ou iPad;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 4:47:22 PM GMT-3","Netflix;Disney+;Star+;Prime Video;Globoplay","Netflix;Disney+;Star+","Netflix","46","Feminino","Trabalhando","0","Filmes","1","3","Smart TV","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Conexão"
"2022/05/03 4:58:56 PM GMT-3","Netflix;Prime Video","Netflix;HBO Max","Prime Video","51","Masculino","Trabalhando","0","Séries","2","2","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 5:18:54 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Nenhum","Netflix;Disney+;Prime Video","19","Masculino","Estudando","0","Documentários","1","4","Smart TV","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço"
"2022/05/03 5:22:15 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix","Netflix","19","Masculino","Estudando","0","Filmes","5","5","Smart TV;Celular;Notebook ou PC","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 5:25:41 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;AppleTV","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","34","Outro","Trabalhando","0","Filmes","1","3","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$5,00 - R$15,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 5:31:30 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max","Netflix;HBO Max","20","Masculino","Estudando","0","Filmes","3","2","Google Chromecast ou similar;Celular","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 5:34:00 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix;Disney+;Prime Video;HBO Max","Netflix;HBO Max","18","Masculino","Estudando","0","Esportes","0","2","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 5:34:49 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+","19","Masculino","Estudando","0","Séries","2","4","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$15,00 - R$25,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 5:37:02 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max","19","Masculino","Estudando","0","Séries","1","2","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 5:37:32 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+","20","Masculino","Estudando","1-2","Séries","1","1","Google Chromecast ou similar;Celular","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Conexão;Interface"
"2022/05/03 5:38:35 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;HBO Max","HBO Max","18","Masculino","Estudando","0","Séries","4","8","Smart TV;Celular;Notebook ou PC","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 5:40:36 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+","23","Feminino","Trabalhando","0","Filmes","1","5","Smart TV","R$15,00 - R$25,00","","Interface"
"2022/05/03 5:42:17 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Star+;HBO Max","20","Feminino","Estudando e Trabalhando","0","Filmes","2","7","Smart TV","R$15,00 - R$25,00","","Preço;menos demora pro lançamento "
"2022/05/03 5:43:12 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Crunchyroll","Netflix;Prime Video;Globoplay","Netflix;Prime Video","19","Masculino","Estudando","0","Séries","1","3","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Notebook ou PC","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 5:51:05 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;Globoplay","Netflix;Disney+;Prime Video","20","Masculino","Estudando","0","Séries","2","7","Smart TV;Notebook ou PC","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 5:55:24 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Star+;HBO Max","51","Masculino","Trabalhando","3+","Esportes","2","5","Smart TV;Celular;Notebook ou PC","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 6:39:19 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay;Vivo TV","Netflix;Disney+;Prime Video;HBO Max;Vivo TV","Netflix;Disney+;HBO Max","50","Masculino","Trabalhando","0","Filmes","1","6","Smart TV;Celular","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 6:47:18 PM GMT-3","Netflix","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix","24","Feminino","Estudando e Trabalhando","0","Filmes","2","4","Smart TV","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço"
"2022/05/03 6:50:00 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;HBO Max","13","Masculino","Estudando","0","Esportes","3","5","Celular;Notebook ou PC","R$25,00 - R$35,00","","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 6:53:04 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+","Netflix;Star+","46","Masculino","Estudando e Trabalhando","1-2","Esportes","0","4","Smart TV","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Interface"
"2022/05/03 7:23:34 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;HBO Max","Disney+;Star+;HBO Max","21","Feminino","Estudando","0","Séries","5","3","Smart TV;Celular","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 7:32:53 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;Globoplay","Netflix","21","Feminino","Estudando","0","Filmes","1","4","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 7:36:41 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Prime Video;HBO Max","20","Feminino","Estudando","0","Séries","3","4","Smart TV","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/03 7:44:16 PM GMT-3","Netflix;Disney+;HBO Max;Globoplay","Netflix;Disney+","Netflix;Disney+","61","Masculino","Trabalhando","1-2","Filmes","1","3","Smart TV","R$25,00 - R$35,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries"
"2022/05/03 8:06:41 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Nenhum","Netflix;Prime Video;HBO Max","19","Masculino","Estudando","0","Filmes","0","0","Smart TV;Celular","R$15,00 - R$25,00","","Preço;Maior catálogo de filmes e séries"
"2022/05/03 8:08:01 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;Disney+;Star+","Netflix;Disney+;Star+","36","Feminino","Estudando e Trabalhando","0","Séries","1","3","Smart TV;Google Chromecast ou similar","Mais de R$35,00","R$1.000,00 - R$5.000,00","Preço;Interface"
"2022/05/03 8:12:04 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Gaia","Netflix;Gaia","Gaia","34","Feminino","Estudando e Trabalhando","1-2","Séries","4","6","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Nada"
"2022/05/03 8:15:52 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Apple TV+","Netflix;Disney+;Star+;Prime Video","Netflix;Star+;Prime Video","21","Outro","Estudando","0","Filmes","1","4","Smart TV","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 8:26:56 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max","Netflix;HBO Max","48","Masculino","Estudando e Trabalhando","0","Filmes","0","1","Smart TV","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Interface"
"2022/05/03 8:37:31 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Star+;Prime Video;HBO Max","55","Masculino","Trabalhando","0","Séries","4","3","Smart TV","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 8:47:11 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay;Apple TV","Netflix;Prime Video;HBO Max","Netflix;HBO Max","54","Masculino","Trabalhando","0","Séries","2","3","Smart TV","R$25,00 - R$35,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/03 8:48:17 PM GMT-3","Netflix","Prime Video","Netflix","61","Masculino","Trabalhando","0","Filmes","1","3","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Conexão"
"2022/05/03 8:55:30 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Globoplay","Netflix","57","Masculino","Trabalhando","0","Séries","1","1","Smart TV","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries"
