"Carimbo de data/hora","Quais serviços você conhece? (selecione uma ou mais)","Quais serviços você ou sua família assinam? (selecione uma ou mais)","Quais serviços você mais gosta? (selecione uma ou mais)","Idade","Gênero","Ocupação","Quantas crianças (menor de 10 anos) moram com você?","Tipo de conteúdo preferido:","Durante a semana, quantas horas você assiste de streaming por dia?","De final de semana, quantas horas você assiste de streaming por dia?","Quais dispositivos você utiliza para assistir streaming? (selecione uma ou mais)","Qual preço você julga justo assinar?","Qual sua renda familiar mensal?","O que poderia melhorar nos serviços de streaming que você assina?"
"2022/05/04 8:09:09 AM GMT-3","Netflix;Disney+;HBO Max;Hulu;Globoplay;Apple TV - Amazon Prime","Netflix;HBO Max;Apple TV e Amzon Prime","Netflix;HBO Max;Apple TV e Amazon Prime","62","Masculino","Trabalhando","0","Filmes","1","2","Smart TV;Celular","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Esportes Internacionais ao Vivo"
"2022/05/04 8:54:18 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video","Prime Video","21","Feminino","Estudando","0","Filmes","2","4","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/04 9:04:10 AM GMT-3","Netflix;Globoplay","Netflix","Netflix","71","Masculino","Aposentado","0","Séries","1","1","Smart TV;Google Chromecast ou similar","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Nada"
"2022/05/04 9:22:24 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix","55","Masculino","Trabalhando","0","Séries","5","2","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/04 10:31:00 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+","Netflix;Disney+;Star+","20","Feminino","Estudando e Trabalhando","1-2","Séries","2","6","Smart TV;Celular;Notebook ou PC","R$25,00 - R$35,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/04 11:02:42 AM GMT-3","Netflix;HBO Max;Globoplay","Netflix","Netflix","57","Masculino","Trabalhando","0","Filmes","3","0","Smart TV","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/04 11:09:30 AM GMT-3","Netflix;Disney+;HBO Max;Globoplay;Amazon","Netflix;Disney+;Globoplay","Netflix;Globoplay","55","Masculino","Trabalhando","0","Filmes","0","4","Smart TV","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/04 11:12:07 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;crunchyroll","Netflix;Disney+;Prime Video;HBO Max;Globoplay;crunchyroll","Netflix;Disney+;HBO Max;crunchyroll","20","Masculino","Estudando e Trabalhando","0","Séries","2","4","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/04 11:19:48 AM GMT-3","Netflix;Disney+;Star+;Prime Video;Globoplay;Direct Go","Netflix;Prime Video;DirecTV Go","Netflix;Prime Video","76","Feminino","Aposentado","0","Filmes","2","2","Smart TV;Google Chromecast ou similar","R$5,00 - R$15,00","","Maior catálogo de filmes e séries"
"2022/05/04 11:27:58 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix","Netflix","21","Masculino","Estudando e Trabalhando","0","Séries","1","4","Notebook ou PC","R$15,00 - R$25,00","","Maior catálogo de filmes e séries"
"2022/05/04 12:48:58 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Pluto TV","Netflix;Disney+;HBO Max;Globoplay","Netflix;Globoplay","59 anos","Masculino","Trabalhando","0","Filmes","2","5","Smart TV;Google Chromecast ou similar;Celular","R$25,00 - R$35,00","R$5.000,00 - R$10.000,00","Nada"
"2022/05/04 4:35:02 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay;Paramount+","Netflix;Disney+;Prime Video;Paramount+","Disney+;Prime Video","58","Masculino","Nenhuma das opções","0","Séries","1","2","Smart TV;Tablet ou iPad;Celular","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço"
"2022/05/04 5:07:18 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;HBO Max","Netflix;HBO Max","19","Masculino","Estudando","0","Séries","1","4","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Interface"
"2022/05/04 6:31:57 PM GMT-3","Netflix;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max","Netflix;HBO Max","69","Masculino","Trabalhando","0","Filmes","1","6","Smart TV","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/04 7:55:56 PM GMT-3","Netflix;Disney+;Star+;Prime Video;Globoplay","Netflix;Star+;Prime Video;Globoplay","Netflix;Star+;Globoplay","54","Feminino","Estudando e Trabalhando","0","Filmes","6","5","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/04 8:18:09 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;Globoplay","Netflix;Globoplay","40","Masculino","Estudando e Trabalhando","0","Filmes","2","2","Smart TV","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/05 1:55:56 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video;HBO Max","Netflix;HBO Max","22","Feminino","Estudando","0","Séries","6","8","Smart TV;Google Chromecast ou similar;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço"
